Mission._id,Mission.name,Mission.description,Mission.tags,Mission.usergroups,Mission.platform.name,Mission.platform.type,Mission.securityClassification,Mission.sensors.0.name,Mission.sensors.0.description,Mission.sensors.0.type,Mission.sensors.0.tags,Mission.sensors.0.sampling,Mission.sensors.0.files
,Truck,ESRI,"test,ESRI,Truck",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/Truck.ts
,ArcVideo,ESRI,"test,ESRI",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200./upload/ArcGIS/ArcVideo_clip.ts
,Video_Clip_1,ESRI,"flight,test,ESRI",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/Video_Clip_1.ts
,Video_Clip_2,ESRI,"flight,test,ESRI",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/Video_Clip_2.ts
,Cheyenne,ESRI,"flight,test,ESRI,Cheyenne",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/Cheyenne.ts
,Cheyenne_Handoff,ESRI,"flight,test,ESRI",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/Cheyenne_Handoff.ts
,CheyenneVAhospital.ts,ESRI,"flight,test,ESRI",Demo,-,Plane,UNCLASSIFIED,EO/IR,Main EO/IR,video,camera,200,./upload/ArcGIS/CheyenneVAhospital.ts
,Ruhama1,Southern Israel,Israel,Demo,-,Quadcopter,UNCLASSIFIED,EO,Main EO,video,camera,200,./upload/Impleo/Israel/Ellen/6M_RuhamaAACRemux.ts
,DeadSea1,Southern Israel,Israel,Demo,-,Quadcopter,UNCLASSIFIED,EO,Main EO,video,camera,200,./upload/Impleo/Israel/DeadSea/DeadSea-1-1080p-6M-AAC.ts
,Ovdat,Southern Israel,Israel,Demo,-,Quadcopter,UNCLASSIFIED,EO,Main EO,video,camera,200,./upload/Impleo/Israel/Ellen/6M_Ovdat_web.ts
